Districts,Location,Company Name,Company Type,Machine Type,Product Type,Block Type,Company Category,Company Size,Contact,Website,Map,Status,has_website,has_contact,is_eco,is_operational,modernization_score,size_score,is_high_risk,competitor_tier
Jagtial,"Jagtial, Telangana 505327, India",Baba sai cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Wall,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/uKaqYopvAGW84BJ66,Temporarily Closed,False,False,True,False,1,2,False,Tier 3 — Hand Made
Peddapalli,"Raghavapur, Peddapalli, Telangana 505174, India",SVM BRICKS,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/uJFpKg8rPLB6H4EA6,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Survey No. 737/1, Hyderabad-Ramagundam Road Peddapalli Appannapet, Peddapalli, Telangana 505174, India",M/s. Spoorthi FlyAsh Bricks,Manufacturing,Fully Automatic Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,,,https://maps.app.goo.gl/4vzPDLXuktPNvtpQ9,Running,False,False,True,True,3,3,False,Tier 1 — Fully Automatic
Peddapalli,"mallana swamy temple, BC Colony, Gowreddypeta, Peddapalli, Telangana 505174, India",V.i.P Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Moderate,,,https://maps.app.goo.gl/2sV1ZHGUJpzMbb2T8,Running,False,False,False,True,1,2,True,Tier 3 — Hand Made
Peddapalli,"1-23/4 Near Flyover Bridge, Shanthi Nagar, Peddapalli, Telangana 505174, India",Sri Santhoshimatha Bricks Industries,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,9000077904,,https://maps.app.goo.gl/kJXvwdoshVsCWZ9g8,Running,False,True,True,True,1,2,False,Tier 3 — Hand Made
Peddapalli,"JC9C+VG, Gowreddipeta, Telangana 505174, India",KBI Bricks Manufacturing,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/gGztoX29i83VRbn8A,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Rampally, Peddapalli, Telangana 505174, India",PVN BRICKS INDUSTRY,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9121116999,https://www.instagram.com/pvnbricks.peddapalli?igsh=b3hqMmtmbDVkOTJx&utm_source=qr,https://maps.app.goo.gl/MjVYr1EZrHcUMRsT8,Running,True,True,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Manthani - Peddapalli Rd, Raghavapur, Telangana 505174, India",MTS Bricks Karimnagar,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/p5xDUowjkMkSX66v8,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"1-78,raghavapur, Near Hanuman Temple Peddapalli, Main, Road, Telangana 505174, India",LMN Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9949268139,,https://maps.app.goo.gl/8NJVrFMn9QVpvenM7,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"1-4-8, Karimnagar - Peddapalli Rd, near Radha Swamy Temple, Narasaiah pally, Karimnagar, Garrepalle, Telangana 505186, India",Bajarang Bricks Company(BBC),Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9989091075,,https://maps.app.goo.gl/pgBHo37swnFqH9Li8,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Azad chowk, x- road, opposite Flyover, Hussainipura, Bommakal, Karimnagar, Telangana 505001, India",KALIKAMATHA CEMENT BRICKS,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9059666605,,https://maps.app.goo.gl/uTPYxGbaMUtP1bz68,Running,False,True,True,True,2,3,False,Tier 2 — Semi Automatic
Peddapalli,"Gattusingaram, Telangana 505188, India",KSR Bricks Industry,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/L4nULbDjs6JC6ejk9,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Rebbaldevipalle, Telangana 505185, India",Sri Bhagyalaxmi cement bricks,Manufacturing,Hand Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/d3GEPAPvQhF7uC2b8,Running,False,False,True,True,1,1,False,Tier 3 — Hand Made
Peddapalli,"Gattusingaram, Telangana 505188, India",S.B.S Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/LE8b6jiNMLgdpRQ7A,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Unnamed Road, Peddabonkur, Telangana 505174, India",PVB Bricks,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/dXGn9QSugqGZPSKM6,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Gowreddy pet, Telangana 505174, India",N B C BRICK,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/BVFsyz8YR6ZLZpwo7,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"5-63/1 Garrepalli, Sultanabad, Telangana 505186, India",Sri Rajarajeshwara Cement Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Moderate,,,https://maps.app.goo.gl/z2QBJ7JmHZSGg5zr8,Running,False,False,True,True,2,2,False,Tier 2 — Semi Automatic
Peddapalli,"Andugulapally, Telangana 505174, India",Anirudh fly ash bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fully Automatic Fly Ash Brick Plant,Large,9989543417,,https://maps.app.goo.gl/vMcHa8tNpn8WsW8R9,Running,False,True,True,True,2,3,False,Tier 2 — Semi Automatic
Peddapalli,"Nagunur Rd, Karimnagar, Jyothi Nagar, Telangana 505415, India",Shraddha cement Articles and Bricks,Manufacturing,Semi Automatic Concrete Machine Made,Fly Ash Brick,Fly Ash Block,Fly Ash Brick Plant,Small,,,https://maps.app.goo.gl/ZwtF4gbtn3GXzhUk8,Running,False,False,True,True,2,1,False,Tier 2 — Semi Automatic
Peddapalli,"Gowreddipeta, Telangana 505174, India",LNC BRICKS MANUFACTURER,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,9908937513,,https://maps.app.goo.gl/w2CtC91uzxSrpDah7,Running,False,True,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"beside VSR BRICKS, Raghavapur, Peddapalli, Telangana 505174, India",ASR BRICKS INDUSTRIES,Manufacturing,Hand Made,Fired Clay Brick,Standard Block,Traditional Clay Factory,Large,,,https://maps.app.goo.gl/iaV49GvSaohzLNqq8,Running,False,False,False,True,1,3,True,Tier 3 — Hand Made
Peddapalli,"Gowreddypeta, Peddapalli, Telangana 505174, India",BBI BRICKS,Manufacturing,Unknown,Unknown,Unknown,Traditional Clay Factory,Unknown,,,https://maps.app.goo.gl/46fQAiPr3zewH1VD8,Temporarily Closed,False,False,False,False,0,0,False,Tier 4 — Unknown
